condition,marker,rmse,pearson,fid
no_pca,c_erb_b_2_her2,0.099406365,0.414953589,205.7299519
no_pca,cd20,0.042252579,0.187858909,270.917206
no_pca,cd3,0.053538119,0.149800748,320.4913486
no_pca,cd45,0.065684389,0.385800272,167.4179486
no_pca,cd68,0.044201019,0.160230845,282.9895204
no_pca,cytokeratin_5,0.051925914,0.077716649,378.2611105
no_pca,cytokeratin_8_18,0.096150296,0.394188702,226.9495836
no_pca,estrogen_receptor_alpha,0.127201733,0.586271763,209.249077
no_pca,ki_67,0.046317617,0.111164398,261.5369504
no_pca,pan_cytokeratin,0.189769995,0.134724557,263.810365
no_pca,sma,0.093497205,-0.025616866,195.1156047
pretrained_conv1,c_erb_b_2_her2,0.087023485,0.454313338,170.0541569
pretrained_conv1,cd20,0.036858559,0.220236301,307.8173549
pretrained_conv1,cd3,0.054798411,0.134660318,335.5636807
pretrained_conv1,cd45,0.069973098,0.383898556,187.8472735
pretrained_conv1,cd68,0.044606899,0.095550537,371.710794
pretrained_conv1,cytokeratin_5,0.05191142,0.075535506,345.6071838
pretrained_conv1,cytokeratin_8_18,0.094689346,0.385407686,223.1431413
pretrained_conv1,estrogen_receptor_alpha,0.129737423,0.554681182,201.5719059
pretrained_conv1,ki_67,0.045437032,0.149656743,274.2156509
pretrained_conv1,pan_cytokeratin,0.139419601,0.586882889,223.6708007
pretrained_conv1,sma,0.091470818,0.061708614,208.0573896
