,c_erb_b_2_her2,c_myc,carbonic_anhydrase_ix,cd20,cd3,cd44,cd45,cd68,cleaved_parp,cytokeratin_19,cytokeratin_5,cytokeratin_7,cytokeratin_8_18,dna1,dna2,e_cadherin_p_cadherin,egfr,fibronectin,gata3,histone_h3,histone_h3_phospho,histone_h3_trimethylate,keratin_14_krt14,ki_67,m_tor,p53,pan_cytokeratin,progesterone_receptor_a_b,rabbit_ig_g_h_l,s6,slug,sma,twist,v_wf,vimentin
c_erb_b_2_her2,1.0,0.6519994124886064,0.2459378301729411,-0.0368854401137306,0.30461550038804763,0.33173292892562783,0.5577732532415881,0.4279542393903421,0.3832532657654935,0.18355871729096804,0.2233856734258684,0.4023064657683948,0.6797220926043679,0.5179590204758601,0.6576625810850344,0.19254525409263337,0.47106340166679156,0.5434405440887408,0.5676048514418206,0.5896938594179527,0.19268110099151614,0.45112875324279694,0.30544469535237384,0.5925836961961659,0.5491744618709941,0.6177003522650619,0.5202464767449451,0.46903144032165645,0.591100381036196,0.6640664854971724,0.2489760861103119,0.5083198443457468,0.7536277921902086,0.5956715460737073,0.5957905594414048
c_myc,0.6519994124886064,1.0,0.440287777828819,0.3726737691878078,0.6843358401292041,0.6011216209028334,0.7383366295220849,0.4543216540259037,0.4720895821899427,0.4709782971357006,0.44178306081347357,0.5704685161589811,0.5933567693159482,0.6207791960523102,0.661927629717922,0.3417928828918133,0.5981103530145621,0.6161039169843983,0.6429138993590565,0.5814408354266952,0.1837565490596191,0.6145477068922581,0.3733215125879756,0.4883158067160047,0.6190078975554207,0.494590664129649,0.5955754105930964,0.4504364024960772,0.6854923067438088,0.7508319451462613,0.5360448817603098,0.6246039738013438,0.5700355589457676,0.450136874439386,0.4489441719111528
carbonic_anhydrase_ix,0.2459378301729411,0.440287777828819,1.0,0.21585498018660135,0.463213657101272,0.354661981484929,0.4358120833927695,0.20146859715335014,0.734496801326857,0.4354112519311717,0.2382927777200206,0.4020485531020843,0.29100835571759803,0.2004928870019753,0.2627854447074411,0.28710485023294946,0.3515770328982203,0.3162919266747097,0.37618702083368594,0.10453737708802274,0.11467237173272342,0.2849680495347055,0.302408524717789,0.36514328750099734,0.4128852370233723,0.2949885036350756,0.49648121776847215,0.29959070644014035,0.334968200643603,0.3779542696121216,0.4825970300452843,0.3994451281282564,0.28449740576244714,0.21159800076884208,0.21085578408593622
cd20,-0.0368854401137306,0.3726737691878078,0.21585498018660135,1.0,0.34398752807603317,0.2034529894175417,0.3246458309659606,0.21857095106731236,0.16311649408015783,0.3824461931437662,0.3816626632882747,0.25841057012782603,-0.11274482663578404,0.28832357371333794,0.07246554112700643,0.034077987906452716,0.2506566588251223,0.15406213960527937,0.2584892676416616,0.1867880050966009,0.05311211796648525,0.17088557671617396,0.09937567847894993,0.09102367815980794,0.04462780669666279,0.04630756342342647,0.21697146338691856,0.19521033149665507,0.19581416265119955,0.18314646199671672,0.2008668210798121,0.14102509858344475,0.018648741927762693,-0.013715157310406689,-0.015124852215498212
cd3,0.30461550038804763,0.6843358401292041,0.463213657101272,0.34398752807603317,1.0,0.7876469382919618,0.5494944198506319,0.22431692733958883,0.4130280349315416,0.4443777819148036,0.22253239170327532,0.40029526678578076,0.4736852014825596,0.2794855467361687,0.33403960624647916,0.2350682649555498,0.5131096941797688,0.5307910671673005,0.43068562337860156,0.23133239968182512,0.03838849009571842,0.6914149595390816,0.23273218184323843,0.31155753380608253,0.6207217444494679,0.32388832206262436,0.40567175158180796,0.23536540549166,0.4249924445551233,0.6057023360226688,0.7436685976368986,0.8374899965909832,0.35850966734282863,0.24772550887432335,0.24629568626408033
cd44,0.33173292892562783,0.6011216209028334,0.354661981484929,0.2034529894175417,0.7876469382919618,1.0,0.5312574194468689,0.20476902702794184,0.3705373915944769,0.3909570995795546,0.1916950247697705,0.3518145458633637,0.49165461825057,0.23521387348921324,0.2877944205759546,0.2224618540699066,0.5356172738020691,0.5855684354063863,0.3776225553602557,0.17773757945305832,0.08975143190791303,0.7417674965970277,0.23796517363016761,0.2810818006861553,0.6333728231252221,0.30939909431371176,0.3475050712146012,0.22257068269791033,0.3812681784003733,0.6440376357864553,0.6386798582719428,0.7838479094990679,0.36080407462120023,0.25940359735885826,0.258502353672188
cd45,0.5577732532415881,0.7383366295220849,0.4358120833927695,0.3246458309659606,0.5494944198506319,0.5312574194468689,1.0,0.5714089574936716,0.5178565988651117,0.41072706952701704,0.49115610999760645,0.8397981850008099,0.6108840112279955,0.7643886194449347,0.6921944698978988,0.5919493712660991,0.7998269500905445,0.5576606771129254,0.8490089371846358,0.6393149387464973,0.34441891375671224,0.6745365792330438,0.5268483942564113,0.5543191153964251,0.5864677751209476,0.6446398651866859,0.7697455809714006,0.46255621250988255,0.8066507256853696,0.8053857628823358,0.4582447432236726,0.513061097558322,0.54060447185627,0.3627181105827001,0.3602695420070646
cd68,0.4279542393903421,0.4543216540259037,0.20146859715335014,0.21857095106731236,0.22431692733958883,0.20476902702794184,0.5714089574936716,1.0,0.30640538527933386,0.36043796798425565,0.51618101274392,0.4820807513859708,0.37523319125067395,0.5865446291062332,0.4341928004467988,0.3113519954836573,0.3697632304906325,0.30484473258560624,0.44651171154399444,0.3940736299258478,0.4767506570214865,0.29128527788321823,0.30894755070610164,0.33285663513124714,0.21443180636784984,0.3727316741173427,0.4080872877524425,0.2515069485915442,0.5728434342579586,0.45013944329064404,0.14886474907460912,0.21553450843671196,0.41202603183199593,0.3189688812380775,0.31827716514872745
cleaved_parp,0.3832532657654935,0.4720895821899427,0.734496801326857,0.16311649408015783,0.4130280349315416,0.3705373915944769,0.5178565988651117,0.30640538527933386,1.0,0.5066610313121813,0.35168903481307223,0.5282707823088956,0.4697864105955141,0.3355730593386508,0.3551826725240505,0.3576363485804226,0.4447233075199041,0.47120928219647057,0.47181912748513694,0.164030733132016,0.1748492235420409,0.3574322911251931,0.45369851115425436,0.5177247110193444,0.5011980820049854,0.37487143654997834,0.6209261041224925,0.4983317577712284,0.45825918923427683,0.45325210524916043,0.45437000887311446,0.42278232581979597,0.4518192906827463,0.2937848306008815,0.29378011600327847
cytokeratin_19,0.18355871729096804,0.4709782971357006,0.4354112519311717,0.3824461931437662,0.4443777819148036,0.3909570995795546,0.41072706952701704,0.36043796798425565,0.5066610313121813,1.0,0.543124877601793,0.3486675217415482,0.2591546907828408,0.24043716408492077,0.28574707634505053,0.13151572499631295,0.29861974110814804,0.378541992558189,0.22449169989047627,0.16987722704293184,0.002938463621439572,0.29305512573469145,0.12406291328283475,0.18113293593708069,0.29274054723180587,0.09498034375460881,0.3469643129138873,0.2265536412408821,0.2891330036338668,0.2989108372883569,0.36730360074369756,0.30690350064916383,0.18514248964601834,0.18158175958453515,0.18089385143940293
