marker,n_images,raw_area_mean_%,raw_area_std_%,raw_area_median_%,raw_area_q25_%,raw_area_q75_%
beta2microglobulin,794,50.13941105,22.0715026,51.7213695,35.22384796,67.14521542
cerbb2her23b5,794,40.82876701,18.71282065,42.04612892,27.93202722,55.03439289
cerbb2her2d8f12,794,9.20484731,5.824383552,8.021101146,6.771796073,9.455267743
caveolin1,794,15.74107441,7.458461015,14.44811468,10.33818291,19.73566324
cd11c,794,25.83345216,14.95260407,22.83893181,14.90362524,33.66964531
cd134,794,17.40670314,13.40764654,13.56394186,6.856461971,24.43809482
cd140b,794,9.872158462,12.77973207,5.164839831,3.926530522,8.747578387
cd15,794,12.73723893,7.259759201,11.12020874,7.797662502,15.67832746
cd16,794,5.57432572,2.677180676,4.790363887,3.834196459,6.265552435
cd163,794,4.763237432,1.865661217,4.355118714,3.472719163,5.587811393
cd20,794,3.256659931,1.041848413,3.04410483,2.551940389,3.684184038
cd278icos,794,9.469619614,6.418593945,7.700315152,5.260965404,11.47898713
cd279pd1,794,32.93989264,17.55606651,30.69932606,19.4610393,44.67900532
cd3,794,9.551605978,4.346686073,8.860069654,6.434333805,11.91266809
cd31vwf,794,15.50253239,7.307895074,14.53034301,10.21093265,19.62709783
cd38,794,9.754603362,5.177593483,9.0035384,5.95093657,12.73177687
cd4,794,6.025057795,2.802113996,5.470325676,4.028190731,7.353701565
cd45,794,7.76826843,3.699171784,7.139909334,5.169976025,9.52905257
cd45ra,794,9.139888622,5.887535953,7.788407061,4.895998445,12.11342075
cd57,794,18.80422918,13.59435011,14.97264676,9.721788029,24.22180985
cd68,794,34.59897903,17.07437465,33.30618058,21.30379923,46.77667203
cd8a,794,26.29006693,17.34385311,21.2341773,13.26153431,36.28303875
cleavedcaspase3,794,34.64649857,17.38124517,33.83922884,21.63933957,46.73468
cxcl12sdf1,794,7.561537583,4.219793628,6.789435311,4.552371908,9.58208863
CK5,794,14.58223203,8.657696391,12.94185388,8.218185748,18.85303311
CK8-18,794,61.98570094,18.425234,63.19380276,49.3872099,76.77818011
dna1,794,20.98180471,10.50595314,19.35389572,13.02370021,27.28315989
dna2,794,28.98501419,16.758684,26.0170994,16.71589221,37.45635731
Era,794,7.174795117,6.468306797,5.318731459,3.564981392,8.499342094
foxp3,794,20.1504873,8.879110444,19.75521819,13.77045112,25.75107615
fsp1,794,24.55946232,10.04865306,23.19399102,17.68214232,30.75040471
gitrtnfrsf18,794,24.79797306,12.52515176,22.43712404,15.58276349,32.71858654
histone_h3,794,23.8680728,9.816091707,22.2077956,16.85372367,30.68793745
hlaabc,794,15.39948006,11.95270063,12.13895084,6.292062596,21.31631247
hladr,794,38.03769536,21.41441319,34.56408936,21.49594437,53.04291485
ki67,794,38.82221716,21.4403889,38.28363337,20.59323098,54.88601444
Pan-CK,794,13.48655727,8.000734186,11.77610235,7.693572352,18.23631464
podoplanin,794,56.67293519,19.4167929,59.62138422,44.68540991,71.65156184
sma,794,66.19802722,18.84494264,70.60356857,56.10892198,80.61485236
