,beta_2_microglobulin,c_erb_b_2_her2_3b5,c_erb_b_2_her2_d8f12,caveolin_1,cd11c,cd134,cd140b_pdgf_receptor_beta,cd15,cd16,cd163,cd20,cd278_icos,cd279_pd_1,cd3,cd31_v_wf,cd38,cd4,cd45,cd45ra,cd57,cd68,cd8a,cleaved_caspase3,cxcl12_sdf_1,cytokeratin_5,cytokeratin_8_18,dna1,dna2,estrogen_receptor_alpha,foxp3,fsp1,gitr_tnfrsf18,histone_h3,hla_abc,hla_dr,ki_67,pan_cytokeratin,podoplanin,sma
beta_2_microglobulin,1.0,0.848028909869298,0.3834641344260737,0.780347634501858,0.5194696381226037,0.5843376227029999,0.34856595658760986,0.5449172944218137,0.32432653404183615,0.7095171122398215,0.592416607148968,0.5336135724445511,0.6705374296852605,0.7565315492547338,0.6610129757472845,0.7355329260778497,0.6643883829043794,0.4651188489080318,0.6120789573566003,0.6566309948036959,0.7717014514327489,0.5216093146192149,0.7640715751442584,0.7725904621572018,0.6779466115306134,0.7794121163670544,0.6907322417956223,0.5663524399879105,0.7623709861362968,0.5167769549548761,0.3714296467840096,0.6623059536737048,0.3048260008547535,0.6098877870881165,0.5502736295851377,0.5703141761359091,0.7395907455767168,0.7182699746780336,0.717812595872839
c_erb_b_2_her2_3b5,0.848028909869298,1.0,0.3827777665571325,0.6931847645319625,0.45718096890398274,0.45961711815513256,0.3452591119014441,0.5870938819801345,0.304130763015797,0.5858009999452819,0.49957084328183377,0.4601463676903431,0.6456164817947162,0.6814841713287448,0.7419953944478662,0.6706513968135113,0.547854333277017,0.37915342489020265,0.5637589326741108,0.5763409371950386,0.6958629441000705,0.49435470159053546,0.7299885475502012,0.7383614156783792,0.6084507800269611,0.6780215268179048,0.6527361430241911,0.5946213700471781,0.7148801837857787,0.6594451486148493,0.4692972041075393,0.6454759527022034,0.3145768787570391,0.5075791316694908,0.52641496848194,0.4882195111411918,0.6895679503530997,0.6723049989532837,0.6720666604616832
c_erb_b_2_her2_d8f12,0.3834641344260737,0.3827777665571325,1.0,0.4435521401110053,0.24950622734823916,0.2365869482107023,0.34459403196053967,0.36404335905045293,0.3672819529132847,0.513561111366489,0.5706290360985604,0.3662047310142637,0.3047861099625765,0.4243486790007595,0.4318707731671181,0.41276852560661453,0.47778327223142614,0.4063093654956848,0.3802562738107003,0.32832849670249875,0.39125242358445916,0.3877637684858716,0.3414129730383477,0.38965827421668126,0.4181055146461484,0.32229444788422146,0.40826071095326827,0.33902879701690924,0.44095391013749474,0.37409816527666845,0.35599328591215623,0.41751491848048067,0.28239384668604434,0.2912289361435876,0.34555966004761135,0.2915525222389027,0.37224448538082106,0.36991743676085953,0.36881593032231014
caveolin_1,0.780347634501858,0.6931847645319625,0.4435521401110053,1.0,0.662569559593403,0.5688725423066106,0.44097716384267,0.7099628641924285,0.5530092002565339,0.8032582156748792,0.7524929320423052,0.6478255118676902,0.7703536235295853,0.9024662172508571,0.704378594772603,0.8824717226254896,0.795027267066946,0.6181059341717573,0.8048819715641946,0.7286936997382101,0.8794172405727052,0.7492549614746636,0.8128174542790504,0.8779797780266031,0.8425331243935982,0.8285067291607996,0.8682438831817757,0.5905085087884322,0.8045111828446629,0.5377484168451998,0.4069109652187499,0.8379980285892319,0.4437827353585113,0.5738681573650148,0.7367926536031586,0.5492721620246258,0.794949714761542,0.7921486022036002,0.7915566635559842
cd11c,0.5194696381226037,0.45718096890398274,0.24950622734823916,0.662569559593403,1.0,0.3187979536499717,0.3675854736980517,0.7724220765642626,0.6761855628891962,0.5838901686750656,0.5284383764526749,0.7780166303547275,0.4569875556118652,0.7037887417665852,0.4887655896465395,0.7131061897827174,0.5016599849222496,0.4368715184243961,0.7717267188608465,0.4290214750963905,0.6751559032077707,0.778956823203458,0.7265764378955565,0.7161972065228082,0.6885938118893917,0.46590628648936355,0.6936256499875071,0.39709128511661584,0.5401244900291648,0.4255175972114253,0.3772223125534109,0.7305670374054427,0.3906126829903282,0.2964690027810353,0.7735012642404222,0.2523126379152981,0.4752798790184036,0.5190775375021434,0.5184976092733858
cd134,0.5843376227029999,0.45961711815513256,0.2365869482107023,0.5688725423066106,0.3187979536499717,1.0,0.2820270614394655,0.3414887992955326,0.10150562347109136,0.5454521296408448,0.5044843032395827,0.34815786604822996,0.5128232976714591,0.48631452925660723,0.32660424645019903,0.4878856886210211,0.49745979041819094,0.24326649111717452,0.40027387830389155,0.5274467857236395,0.44006089594008885,0.2809547539832908,0.3555866577191843,0.40668710635387717,0.4158856727989124,0.6085325755342373,0.40163453170423946,0.341097130187127,0.45799367391341217,0.35291533439816924,0.24268100117748853,0.42117327768106383,0.06079811870333265,0.7145448749463083,0.29109073242159234,0.7523288375970221,0.5661428929395218,0.44463856760052867,0.4439733677951646
cd140b_pdgf_receptor_beta,0.34856595658760986,0.3452591119014441,0.34459403196053967,0.44097716384267,0.3675854736980517,0.2820270614394655,1.0,0.5117813159235799,0.3670260662647891,0.45279630299649765,0.42322044278770454,0.4511524578237421,0.42288321611687935,0.4236830237104487,0.3624134421279106,0.4439535901593196,0.3324161384789308,0.275290151402597,0.4112021608205873,0.3849111861289491,0.4336015200731317,0.43710841854248056,0.40475100765556327,0.4361878834651353,0.41907917365201774,0.31482360776081625,0.4286655016240735,0.39284618938596616,0.4337750598378366,0.25682090805359115,0.21166173314539385,0.47443965312903474,0.24500862514685645,0.3113814360996872,0.41882407810895594,0.3372515906463289,0.4451544402620405,0.31051366535748703,0.310260799293375
cd15,0.5449172944218137,0.5870938819801345,0.36404335905045293,0.7099628641924285,0.7724220765642626,0.3414887992955326,0.5117813159235799,1.0,0.70551689960027,0.634341743043801,0.6052524126767933,0.7275860082935418,0.534130859506687,0.7641365416813976,0.6664903260690876,0.7636154189565523,0.5735624550470818,0.5067379228915527,0.7975450200422366,0.5025965338914062,0.7229030476917312,0.8055244930137899,0.7266632677101388,0.7540325910267188,0.7359338007767576,0.5394929002182912,0.7650827996717872,0.4732091485589925,0.644395638300123,0.5885924754006664,0.48946010829873793,0.803334065904956,0.4509982881557193,0.36267527405360567,0.812092753755908,0.3239532761144353,0.5822814677618842,0.5706840059397634,0.5700592723759826
cd16,0.32432653404183615,0.304130763015797,0.3672819529132847,0.5530092002565339,0.6761855628891962,0.10150562347109136,0.3670260662647891,0.70551689960027,1.0,0.5950302516919918,0.6087109578231128,0.6859770268975248,0.3328404826390414,0.6536283181703793,0.4966360818513641,0.5983783537251747,0.555737267412755,0.6948575929310654,0.7249059108940792,0.33334259486058354,0.5888729822091775,0.7694028586355122,0.571568150167154,0.6405549892292793,0.6815244937329766,0.33110542061247983,0.6692433969515951,0.39208507403997706,0.537113638639699,0.3764561629001158,0.4600108009864605,0.7270297413091225,0.6768800815413947,0.12725660877193287,0.7025829292752341,0.0760956046122166,0.39278498659286054,0.3786079696800452,0.3776604171534912
cd163,0.7095171122398215,0.5858009999452819,0.513561111366489,0.8032582156748792,0.5838901686750656,0.5454521296408448,0.45279630299649765,0.634341743043801,0.5950302516919918,1.0,0.8411548029718955,0.7084498630638447,0.6397304655841268,0.7947968636025755,0.5476674885572892,0.8062887727815141,0.854146743944882,0.6731463036227894,0.7811844562405723,0.6761210278641118,0.7570071954035815,0.7205888725147378,0.6473051562753869,0.730938689149084,0.7470895620650081,0.7263805074497859,0.7430619244370851,0.6377753324096178,0.8038640346269246,0.4056920395555114,0.3717795311417755,0.7776409032194574,0.4306230560606677,0.5495745560834719,0.6815705936041643,0.5200684330173126,0.7127086712886802,0.6040772615142249,0.6024782696222766
